latitude,longitude
26.0068467,-80.3477782
25.7090999,-80.2878981
26.0934447,-80.2491517
26.0824102,-80.2361755
26.1696239,-80.2545351
25.8145691,-80.1281427
25.8877648,-80.1653561
25.9591918,-80.141396
25.7599145,-80.3711694
25.7550529,-80.3723502
25.7540812,-80.3723502
25.9085456,-80.1396177
25.9093381,-80.1397302
25.9463526,-80.122072
25.7941223,-80.2063577
25.9593659,-80.1428541
26.4556262,-80.1903885
25.4566224,-80.4743324
25.8139239,-80.1940134
26.0072961,-80.3490243
26.108613,-80.2523051
26.7819609,-80.0927184
25.7586964,-80.3797182
25.7599622,-80.3742385
25.7600371,-80.3731281
26.1742098,-80.855737
26.1313514,-80.1412825
25.7484559,-80.3080265
25.8466796,-80.3822906
25.6870987,-80.3425101
26.3873729,-80.1135613
26.0921452,-80.249763
25.9814426,-80.296682
25.981452,-80.2979082
25.9826243,-80.3104243
25.7600483,-80.3742492
25.7581628,-80.380071
25.7581711,-80.3801064
25.758167,-80.380148
25.758167,-80.380188
25.7568143,-80.7662962
25.3953743,-80.5841007
25.942861,-80.3448443
26.1152874,-80.2531773
25.4536571,-80.4736724
25.4536938,-80.4736723
25.4562622,-80.473489
26.6355093,-80.1747128
26.8402562,-80.1039135
25.8670539,-80.1288655
25.8821081,-80.1228452
25.7842941,-80.1306603
25.8859079,-80.131923
25.8872007,-80.1262113
25.7927569,-80.1358707
25.7917792,-80.1348884
25.7914282,-80.1340662
25.7802125,-80.1416845
25.9380818,-80.1223533
25.9301238,-80.1252284
25.954533,-80.12136
